crh_Latn,ukr
RF ittifaqdaşları Qırımnıñ rusiye işğalini ne içün resmiy tarzda qabul etmege red eteler: ekspertlerniñ fikirleri,Чому союзники РФ відмовляються офіційно визнавати російську окупацію Криму: думки експертів
Qırımdaki referendumı. Yarımadanıñ qanunsız ücümi nasıl keçirile edi,«Референдум» у Криму. Як проходило незаконне захоплення півострову
Qırımda ekinci zelzelesi olumlımı: ilimniñ fikri,Чи можливий повторний землетрус у Криму: думка науковця
Suspilne Qırımnıñ jurnalistini TM 244 batalyondaki rota reberi olaraq tayin ettiler,Журналіста Суспільне Крим призначили командиром роти 244 батальйону ТрО
"Qırım faalleri, Halqara ana tili kününde qırımtatarca onlayn imlâsını yazmağa davet eteler",Кримські активісти запрошують написати онлайн-диктант кримськотатарською мовою у Міжнародний день рідної мови
Qırımnıñ serbest etüvinden soñ Rusiye içinde büyük deñişüvler olacaq - Goces,Після звільнення Криму всередині Росії відбудуться значні зміни – Годжес
Dünyanıñ Rusiyenen “LMC/DMC” tanımasına rekatsiyası. Belli malümatlar,Реакція світу на визнання Росією «ЛНР/ДНР». Що вiдомо
Rusiye quvetçileri Qırımdaki Qurultay vekiline tintüvnen keldiler. Belli olğanı ,Російські силовики прийшли з обшуками до делегата Курултаю в Криму. Що відомо
Künniñ başlanuvından beri Donbasstaki mesken yerlerniñ 20 danesinden ziyadesi üzerine ateş etilgen edi ,Від початку доби бойовики обстріляли понад 20 населених пунктів на Донбасі
İşğal etilgen Qırımda jurnalist Vladislav Yesipenkoğa ükmü aqqında belli olğanı aqqında,Що відомо про вирок в окупованому Криму журналісту Владиславу Єсипенку
"Ukraina Yuqarı Şurası, dünyanı, öz özüni ilân etken “L/DHC”nıñ “mustaqilligini” tanımamağa çağıra",Верховна Рада України закликає світ не визнавати «незалежність» самопроголошених «Л/ДНР»
Uquq qoruyıcılarnıñ sevgi ikâyesi,Історія кохання правозахисників
Rusiye Federatsiyanıñ repressiv maşnası tamamınnen işletilgen – koordinator KrimSOS koordinatorı,Репресійна машина Російської Федерації вже розігналася на повну – координатор КримSOS
Kiçik aynıñ 11 Rostovdaki  mahkemesinde 64-yaşındaki Zekirya Muratovğa ükümini çıqaracaqlar ,Вирок 64-річному Зекір'ї Муратову ухвалять 11 лютого в ростовському суді
İşğal etilgen Qırımda tintüvden soñ dört dane qırımtatar faalini toqtattılar,У Криму після обшуків затримали чотирьох кримських татар. Що відомо
Bugünki aytışmalarnıñ esas suallernıñ biri tınç ceryanı edi - Zelenskiy,Мирний процес був одним із ключових питань наших сьогоднішніх переговорів - Зеленський
Mustafa Cemilevni dünyadaki Nobel Barış mükâfatına namzet olaraq kösterdiler. Belli malümatlar,Мустафу Джемілєва висунули на Нобелівську премію миру. Що відомо
"QRM, BMT’ge qırımtatar qadınlarğa dair tecavuzı aqqında esabatını yolladı ",КРЦ направив до ООН звіт про насильство щодо кримськотатарських жінок
Ukraina ve Türkiye serbest ticaret zonasınıñ teşkil etüvi aqqında añlaşmanı imzaladılar,Україна і Туреччина підписали угоду про створення зони вільної торгівлі
"Ukraina NATO’ğa ketse, Alyansnen Qırım içün cenkleşmek kerek olacaq - Putin","Якщо Україна піде в НАТО, доведеться воювати з Альянсом за Крим – Путін"
2024 seneden itibaren Ukrainada müddetli arbiy hızmetine çağıruvnı lâğu etecekler,З 2024 року в Україні скасують призов на строкову військову службу
İşğal etilgen yarımadada mustaqıl jurnalistikanıñ yoq etüvi,Знищення незалежної журналістики на території окупованого півострова
“Bugunki devlet maşnası insanlarını öz fikirnıñ qorçaluvına qabaatlay”. “Prokuror” ekinci Aqmescitteki gruppası içün cezalarını soradı,"«Люди винні перед сьогоднішньою державною машиною лише у тому, що відстоюють свою позицію». «Прокурор» запросив перші терміни для другої Сімферопольської групи"
"Eger Rusiyege Ukrainağa işğal etilgen Qırımnıñ tarafından ucumlansa,  cenk başlanacaq ve er kezini mobilizatsiya eticekler -  Zelenskiy ","У разі нападу Росії на Україну з боку окупованого Криму розпочнеться повномасштабна війна, мобілізуватимуть усіх – Зеленський"
"Britaniya ve AQŞ tahliyesi tanikağa işaret degil, o Ukrainağa imdatnıñ qısımıdır - ekspert","Евакуацію Британії та США варто розуміти не як сигнал до паніки, а як один з елементів підтримки України - експерт"
"Qırım, mustaqil Ukrainanı seçip alğan künü","День, коли Крим став автономною республікою"
"AQŞ devlet kâtibi Entoni Blinken, Rusiyeni “diplomatik ve barışıqlıq yolunen” ketmege çağırdı",Держсекретар США Ентоні Блінкен закликав Росію піти «дипломатичним і мирним шляхом»
Rusiyenen añlaşmalar. Soñ ne olacaq?,Переговори з Росією. Що буде після? 
Rusiye ve Aqrusiye umumiy arbiy oqutuvlarnı keçirecekler,Росія та Білорусь проведуть спільні військові навчання 
Rusiye Ukrainağa ucumlanmq içün sebebini qalp etmege ola bile - AQŞ istihbaratı, Росія може сфабрикувати привід для вторгнення в Україну – розвідка США
Ukrain siyasiy mabusnıñ künü: definitsiyalarnıñ müimligi,День Українського політв'язня: чому важливі дефініції
Amerikalı kongresmenler-cumhuriyetçiler Ukrainanı “NATO-plüs” devletnen ilân etmege teklif ettiler,Американські конгресмени-республіканці запропонували оголосити Україну країною «НАТО-плюс»
Kazahstandaki vaziyeti ve Qırımnıñ işğalinnen muvaziları,Що відбулося в Казахстані та чи є паралелі з окупацією Криму
"Qırım platforması muvafaqıyetli siyasiy tedbirinnen eti,  lâkin istiqbalini ve perspektivasını tek vaqıt bildirtecek - Babin","Кримська платформа була успішним дипломатичним заходом, але успішність та перспективу покаже лише час - Бабін"
2021 senesi devaminda işğalcilar kimni toqtattilar,Кого затримали окупанти серед кримчан у 2021 році
Qirimdaki 12 ay.  Işğal etilgen yarimadada 2021 senesi nasil keçti,Кримські 12 місяців. Як окупований півострів прожив 2021 рік
BHT Genasambleniñ yañi qabul etilgen rezolütsiyasi: Nasil yaniliqlar bar ve tesiri nasil,Нова ухвалена резолюція Генасамблеї ООН: Що нового у ній про Крим та на що впливає
“Grajdan jurnalistlerniñ muimligi” fotosergisi. Belli olğani ,"Фотовиставка ""Громадські журналісти важливі!"". Що відомо"
"ŞSCB devri içinde basqılarğa oğratılğanlarına mülkniñ qaytarılması, sürgün etilgen qırımtatatlarına ait olmaycaq","Виплати компенсацій та повернення майна репресованим за період СРСР особам, не стосуватимуться депортованих кримських татар"
"Rusiye, ukrain sıñırı yanında kene de arbiylerni arttıra",Росія знову нарощує війська поблизу українського кордону
Özünde bu işkencelerni kimse is etmesiñ dep qabaatlı olğanlarnı cezalandırmağa talap etemiz - Nuri Yakubov,"Ми потребуємо покарати винних, щоб знову ніхто не відчув на собі ці тортури – Нурі Якубов"
"Bu malümatnı tarif etsem, meni cezalavnen qorquta ediler, amma men susmaycağım - Nariman Ametov","Мені погрожували розправою, якщо розкрию цю інформацію, але я не мовчатиму – Наріман Аметов"
Sanktsıyalar: Celâlovnıñ cedveli,Санкції: список Джелялова
Ukrainlerni cenk vaziyetiniñ kirsetilmesinen boşuna qorqutmaq keregi yoq - Aleksey Danilov ,Українців не варто зайвий раз лякати запровадженням воєнного стану -  Олексій Данілов
Arap tili künü. Qirimtatarlarniñ arap tiline munasibeti,День арабської мови. Як з нею пов'язані кримські татари
Düniyağa kureşini kostertmege ketemiz | duniya çempionatina Ukrainani taqdim etken qirimtatar kureşçiler ile intervyu,"Їдемо показати куреш світові | Інтерв'ю з кримськотатарськими борцями курешу, які представлять Україну на чемпіонаті світу"
"Rusiyeniñ Ukrainağa qarşi tecavuzini quvetleştirse, RF içün neticeleri ciddiy olacaqlar - AB liderleri",Будь-яка подальша агресія проти України матиме величезні наслідки для Росії - лідери ЄС
“Örnek” qırımtatar ornamentnı ve oniñ aqqinda malümatlarini UNESKO  medeniy miraslar cedveline qoştilar. Belli olğani ,"ЮНЕСКО внесла кримськотатарський орнамент ""Орьнек"" до списку нематеріальної культурної спадщини. Що відомо"
Rusiye Ğarp şantaj etmek içün Ukrainani qorquza - Zelenskiy,"Росія загрожує Україні, щоб шантажувати Захід – Зеленський"
Yârimadada toqtatilğan on dane qadinini 101 bin ruble köremeni odemege mecburladilar ,Затримання жінок на півострові. 101 тисяча рублів на десятьох
"Rusiye Ukraina territoriyasinda devamli qavğaniñ qisimi olsa de, bu vaqitace episi qabaatluvlarini red ete","Росія досі відкидає усі звинувачення у тому, що вона є частиною тривалого конфлікту на території України"
Ukrainda Kreml siyasiy mabusleri olğan jurnalistlerine muellifler-ambasador kampaniyasini başladilar,В Україні розпочали кампанію авторів-амбасадорів на підтримку політв’язнів-журналістів Кремля 
Putinniñ Ukrainağa qarşi arbiy tecavuzniñ azirliği aqqinda beyanatlar kerçige uyğun degiller - Dmitro Snegiryov,Заява Путіна про планування Росією військової агресії проти України не відповідає дійсності - Дмитро Снєгирьов
Şimdiki vaqitinda yaşlar sportnen oğraşmağa tirişalar | Lenur Temirov ile intervyu,"Сьогодні більшість молоді намагається займатися спортом, це модно | Інтерв’ю з Ленуром Теміровим"
Qirimda insan aqlar bozuvlarniñ butün spektri qayd etile - BHT vekili,У Криму наявний весь спектр порушень прав людини — представник ООН
“Eçnebiylerge” Qirimdaki mulkuetini nasil qorçalamaq,Як «іноземцям» захистити власність в Криму 
Zelenskiy Yuqarı Şurağa çoqluq grajdanlıq aqqinda qanun leyhasini kirsetti,Зеленський вніс до Верховної Ради законопроєкт про множинне громадянство
“Qırım- acı ve ğayıp etüv tarihıdır | USQ polkovniginen intervyüsi,"""Крим - це історія болі та втрати"" | Інтерв'ю з полковником ЗСУ"
"RF etrafında olayatqan siyasiy vaziyetine köre, Rusiye içün cenk elverişli degil - arbiy eksperti","Росії менш за все вигідна війна, зважаючи на ту політичну ситуацію, яка складається навколо РФ — військовий експерт"
Ukraina ve Aqrusiye içün Qırımnıñ statusına dair Lukaşenkonıñ bildirüvleriniñ neticeleri nasıl olacaq,Які наслідки нестимуть для України та Білорусі заяви Лукашенка про статус Криму
Saakaşvili Ukraina ve Ğurçistan içün siyasiy vaziyetnıñ vektorını deniştirecek,Саакашвілі змінить вектор політичної ситуації для Грузії та України
Rusiye Qırımdaki ekologik qaza sebebinden musuliyet çekecek mı,Чи відповість Росія за екологічну катастрофу біля Криму
Rus orduları sınırda: qoquzma ya da ucum telükesi,Російські війська на кордоні: блеф чи загроза наступу
“İnsaniyetliknıñ milletı ve tere tusı yoq” - Dim Amor,«У людяності немає національності та кольору шкіри» - Дім Амор
"Rusiye, Ukrainanen sıñırına arbiylerni alıp keçire ve o, oqutuvlar degil - The Washington Post",Росія стягує війська до кордону з Україною і це - не навчання – The Washington Post
“Qırım seyaat ete: TSMA”,«Крим мандрує: НАОМА» 
"“Halq qoruyıcı”, advokat Edem Semedlâyevniñ tevqif ve serbest etüv ikâyesi ","Історія арешту і звільнення «народного захисника», адвоката Едема Семедляєва"
Qırım SİZ. Lâğu etilmesinden soñ ne olacaq?,ВЕЗ Крим. Що зміниться після скасування? 
Musulman teşkilâtlarnıñ vekilleri Ukraina musulmanlarnıñ Ukrainara kongressiniñ teşkil etilmesini teşebbüs ettiler,Представники мусульманських організацій ініціювали створення Всеукраїнського конгресу мусульман України
İşğal etilgen Qırımnıñ KÇNN gümrükhane işini toqtata. Belli malümatlar,На адмінмежі з окупованим Кримом на КПВВ перестає працювати митниця. Що відомо
Advokat apisi: Semedlâyevnıñ apis etüvini basımnıñ quvetleştirüvinnen saymağa mümkün mı,Арешт адвоката: чи вважається рішення окупантів стосовно Семедляєва посиленням тиску з їхнього боку
İşğal etilgen Qırımda Lukaşenkonıñ ne işi bar,Навіщо Лукашенко зібрався в окупований Крим
"“Bizni toqtatacaqlar dep tüşüneler, amma pek yañlışalar”. Qırım makemeleri astında kütleviy tutıp aluvlarnıñ fenomeni","«Думають, що вгамують нас затриманнями, але вони глибоко помиляються». Феномен масових затримань під кримськими судами"
Putin içün Qırım - tutılıp olamağan cemidan kibi - Çubarov ,"Крим для Путіна – це валіза, яку все важче тримати — Чубаров"
Repressiyalarğa sistemalı yanaşması: Rusiye işğal etilgen Qırımda taktikasını deniştire,Системний підхід до репресій: Росія змінює тактику в окупованому Криму
56 yıl apiste. İşğalcilernıñ qanunsız ükümi,56 років за гратами. Незаконний вирок окупантів
Ukraina rus arstistlerini işğal etilgen Qırımda çıqışları sebebinden cezalacaq mı,Чи каратиме Україна російських артистів за гастролі в окупованому Криму
Ukrainada maarif. Qırım sakinlerine ne zarar ete,Навчання в Україні. Що перешкоджає кримчанам 
İşğal malümatları. Cinaiy davalarınen ne yapmaq?,Матеріали з окупації. Що робити з кримінальними справами? 
Amsterdamdaki istinaf makemesinde yeñüv. Ceryan bittimi?,Перемога в апеляційному суді Амстердаму. Чи поставлено крапку у процесі? 
"“Nariman Celâlnı vaqtından evel serbest etmege yekâne fırsat - deñişüvdir”, - Nikolay Polozov",“Єдина можливість достроково звільнити Нарімана Джелялова — це обмін” — Микола Полозов 
Kiyevde qırımtatar uçucı Amet-Han Sultannıñ hatırasını añdılar,В Києві вшанували пам’ять кримськотатарського льотчика Амет-Хана Султана 
İşğal etilgen Qırımda ealini cedvelge aluvı Rusiyege nege kerek,Для чого Росії перепис населення в окупованому Криму
Qırım ve Donbass içün keçüv deviri aqqında: Venedik komissiyasından baquvı,Про перехідний період для Криму та Донбасу: погляд з Венеційської комісії
“Çaplınka” KÇNN qapatuvı,Закриття КПВВ “Чаплинка”. “За” та “Проти” 
Keçmişniñ alâmetleri. İşğal etilgen Qırımda cezalav psihiatriyası,Дзвіночки з минулого. Каральна психіатрія в окупованому Криму
V.İ. Vernadskiy adına TMU’de rektor saylavları keçe ,В ТНУ ім. В.І. Вернадського проходять вибори ректора
"Yırcı Elzara Batalova, «Açtım yelkenlerimi» adlı yañı yırımı taqdım etti",Співачка Ельзара Баталова презентувала новий сингл «Açtım yelkenlerimi»
Qırım mevzusını APAŞ kündelik mevzusına nasıl qaytarmağa - Strasburgtan fikir,Як повернути Кримський порядок денний на терени ПАРЄ - погляд зі Страсбурга
Deokkupatsiya ve reintegratsiya strategiyası. Kerçekleştirmek planı nasıl?,Стратегія деокупації та реінтеграції. Який план реалізації? 
Jurnalist Yesipenko davanıñ uyğunsızlıqları,Невідповідності в справі журналіста Єсипенка
Azatlıqtan marum etüvi: prezident qanun leyhası neni köz ögünde tuta?,Позбавлені свободи: що передбачає президентський законопроект?  
Qırımtatar elifbesi. Latin urufatına yolu,Кримськотатарський алфавіт. Шлях до латиниці
«Qırım diversantlarnıñ» 3-ci davası,Справа «Кримських диверсантів» №3
"2021 senesiniñ baar-yaz vaqtı içinde RF, işğal etilgen Qırımda öz arbiy kontingentini arttırğan | Belli olğanı",За весну-літо 2021 року РФ збільшила свій військовий контингент в окупованому Криму | Що відомо
"""Qırım mevzusı ukrain telekanallarına tintivler olğanda peyda ola""| Nariman Celâlovnıñ toqtatuvdan evel intervyüsi","""Кримська тема з’являється на українських телеканалах, коли є обшуки"" | Інтерв'ю Нарімана Джелялова перед затриманням"
“Sanki Maarif nazirligiki episine bir türlü metodik qullanmalarını berdi”. Qırımdaki ana tiline maarif vaziyeti,"«Відчуття, що в Міносвіти роздали однакові методички». Як складається ситуація з освітою в Криму рідною мовою"
Zelnskiyniñ ce Baydenniñ körüşüvi: uquqiy yeñişler ve hatalar,Зустріч Зеленського та Байдена: юридичні перемоги та прогалини
Faal ayatını keçirgenleri bugün Rusiye apishanelerinde bulunalar | Şaban Umerov siyasiy mabusınıñ mektübi,"Хто вів активний спосіб життя, сьогодні знаходяться в тюрмах Росії | Лист політв’язня Шабана Умерова"
Mediaforumında Qırım mevzusı: media-ekspertlerniñ tevsiyeleri,Тема Криму на Львівському Медіафорумі: поради медіа-експертів
Tedbirden soñ Qırım platforması aqqında sualler,Декілька запитань про Кримську платформу після проведення заходу 
Mümine Saliyeva: “Halqımız 1944 senesi körgen sürgünliknin yañı gibrid şekilleri. Qırımtatar halqnıñ qarşılıq ve mudafaa vaqıtı keldi”,"Муміне Салієва: “Це нові гібридні форми тієї депортації, яку наш народ пережив у 1944-му році. І от сьогодні час спротиву та захисту кримських татар”"
Kiyevde Qırım platformasınıñ tayin etici sammiti olıp keçe. Belli olğanı,У Києві відбувається установчий саміт Кримської платформи. Що відомо
"""Qırım platforması"" sammiti ögüne 7 sual",7 запитань напередодні саміту «Кримської платформи»
"Lutfiye Zudiyeva: “erim Qırımda. Küçüm olğanına qadar adamlarnıñ siyasiy, diniy ve cemaat mevamlar sebebinden olarğa basqını aydınlatmaq içün er şeyni yapacağım”","Лутфіє Зудієва: “Моє місце в Криму. Поки маю сили - робитиму все, аби висвітлювати тиск на людей за їхні політичні, релігійні та громадянські погляди”"
"Taqiqat tevqifhanesi, insannı em beden, em ruhiy ceetinden yıqmağa tırışa | Siyasiy mabusı İzzet Abdullayevniñ mektübi","СІЗО влаштовано так, щоб людину зламати морально, фізично і духовно | Лист політв’язня Іззета Абдуллаєва"
Qırım tek Ukrainada bahtlı olacaq: Ukraina prezidenti Vladimir Zelenskiyniñ qırım jurnalistlerge intervyüsi,Тільки в Україні Крим буде щасливим: інтерв'ю президента України Володимира Зеленського кримським журналістам
Allah meni azatlıqqa qaytarır| Riza İzetov siyasiy mabusinıñ mektübi,Господь поверне мене на волю | Лист політв’язня Різи Ізетова
Rusiye işğal etilgen Qırımda ve Abhaziyada oquşlar keçire. Ekspertlernıñ fikiri ,В окупованому Криму та Абхазії Росія проводить військові навчання. Думка експертів
Öldürüv ya da yağmacılıq içün degil öz diñ sebebinden tevqif etilgensiñ | Remzi Bekirov siyasiy mabusınıñ mektübi,Ти сидиш не за вбивство чи розбій - ти сидиш за свою віру | Лист політв’язня Ремзі Бекірова
"""İnsan reinedir. Sebebi ise - ülkemizdedir"". Vaqtınca işğal etilgen territoriyalardan Ukraina vatandaşları ukrain pasportnı alıp olamağanları aqqında ",«Людина – заручник. І причина в нашій державі». Як громадяни України з тимчасово окупованих територій не можуть отримати український паспорт
"Sputnik V, YepiVakKorona ve KöviVak - böyle rus vaktsinalarnen Qırım sakinlerini mecburiy aşılatalar. İrina Daniloviç ile intervyü ","Спутник V, ЕпіВакКорона та КовіВак - такими російськими вакцинами наразі примусово вакцинують кримчан. Інтерв’ю з Іриною Данилович"
İşğalci ükümet işğal etilgen Qırımda askerlerını aşılanmağa mecburlary. Abdureşit Ceparov ile intervyü,Окупаційна влада примусово вакцинує військовослужбовців в окупованому Криму. Інтерв’ю з Абдурешитом Джепаровим
Aşılavlar nege kerek ve vaktsinalar aqqında efsaneler - ekimler,Для чого потрібно вакцинуватися та які є міфи про вакцини - лікарки
İçki suvutlama semereti: ekspertler şarqıy adetı üzre suvsuzlığını nasıl qandırmaq ve sıcaq avada nasıl aşlar aşamaq tevsiye ettiler,Ефект внутрішнього охолодження: експерти розповіли яка східна традиція може втамувати спрагу та як правильно харчуватись під час спеки 
İçtimaiy ağda post yerleşmesi sebebinden üç künlük apis cezası. Abdulla İbragimov,Три доби ув’язнення за пост у соціальній мережі. Абдула Ібрагімов
"“Sportnı taşlasa edim, ömür boyu peşman etey edim”. Lenur Temirov ile intervyü","«Я б шкодував усе життя, що покинув спорт». Інтерв’ю з борцем Ленуром Теміровим "
Yunan-roma küreşinden Ukraina çempionı Lenur Temirov Olimpik oyunlardan evel presskonferentsiya berdi,Чемпіон України з греко-римської боротьби Ленур Теміров дав пресконференцію перед Олімпійськіми іграми
Tamır halqlar aqqında emri aqqında ne belli. Eksprtler añlatalar,Що відомо про закон про корінні народи. Пояснюють експерти
“Putin areketleri sebebinden biz şimdiki zamanda  arbiy bazalarnıñ inkişaf etüvi yerine turizmni inkişaf eter edik”. Qırımdaki afan-tufanlar. Meseleler ve neticeler,"«Якби не Путін, то ми б зараз займалися розвитком туризму, а не розвитком військових баз». Повені в Криму причини і наслідки "
Konfrontatsiya meydanı. Ukrainanıñ Qara deñızdeki NATO telükesizlik strategiyasında yeri,Арена конфронтації. Яка роль відводиться Україні у безпековій стратегії НАТО у Чорному морі
İşğal etilgen Qırımda deñiz suvnıñ tatlılaşuv leyhası. Belli olğanı,Проєкт опріснення морської води в окупованому Криму. Що відомо
“Şokoladnı aşamağa tevsiye etkenler”. Qırım tatarlarnı rusiye apishanelerinde nasıl tedaviy etmeyler,«Рекомендували їсти шоколад». Як НЕ лікують кримських татар в російських тюрмах
"""Ömür arqadaşımnın apisini bir kün ögünde tüşüme kördim"". Jurnalist Yesipenko sistemağa qarşı",«Арешт чоловіка мені наснився напередодні». Журналіст Єсипенко проти системи
Suspilne Qırım jurnalisti halqara  ispan tilinde  olğan bediy reportajlar konkursıne ğalebe qazandı,Журналістка Суспільного Крим перемогла у міжнародному конкурсі художніх репортажів іспанською мовою
Tamır halqlar aqqında qanun leyhası: Rusiye oña ne içün menfiy cevabını bergen. Ekspertler añlata ,Законопроєкт про корінні народи: чому Росія негативно відреагувала на нього. Пояснюють експерти
Bloger zenaatı. İşğal şaraitlerde qırım blogerleri nasıl çalışa,Професія – блогер. Як в умовах окупації працюють кримські блогери
"“Qırım-Ukraina” ve “Donbass-Ukraina” tasil merkezleri, işini başladılar","Розпочали роботу освітні центри ""Крим - Україна""  та ""Донбас-Україна"""
"Hicab, makiyaj ve qına. Musulman qadınlarnın meykapta ve özidare baqvda nasıl qaydeleri bar","Хіджаб, макіяж та хна. Які правила в мейкапі та догляді за собою мають мусульманки"
“Bir künnin neticeleri”. Qırım siyasiy mabuslernıñ balaları babalarnıñ toqtatuvları evel ve toqtatuvlardan soñ,«Наслідки одного дня». Діти кримських політв’язнів до і після арешту батька
Qırım işğalcıları yarımadanıñ ekologiya ve zoologiyasına tesir eteler: ekspertlerniñ fikri,Кримські окупанти впливають на екологію та зоологію півострова: думка експертів
"""Ervin qayda?"" 58 tedbir. “Yürüşten azap çeküvi”ne 5 yıl",58 акція «Де Ервін?». 5 років «Ходіння по колу»
"NEXTA sabıq baş muarriri Protaseviçnen uçaqnıñ tutıp alınması, Aqrusiyeni nasıl telükege tüşüre bile",Що загрожує Білорусі через затримання лайнера з ексголовним редактором NEXTA Протасевичем
“Qırımğa kirüvine edebiy yasağı maña farq etmey”. Siyasiy mabusı Öleksiy Çirniy ile intervyü,“Довічна заборона на в’їзд до Криму для мене нічого не означає”. Інтерв'ю з політв'язнем Олексієм Чирнієм
Suspilne “Ukrain radiosı.Qırım” leyhasını işlettirticek. Malümat olaraq,Суспільне запускає «Українське радіо. Крим». Що відомо
“Vagonda men yırlay edim”. Mecburiy sürgünlik ve qıyın qaytuv aqqında ikâye,“У вагоні я співала пісні”. Історія про примусове виселення і важке повернення
Qırımtatar halqnıñ sürgünligi. Genotsid tarihi,Депортація кримськотатарського народу. Історія геноциду
Kiyevdeki qırım musulmanlar Oraza bayramını- Ramazan aynıñ soñunı nasıl qayd eteler,Як кримські мусульмани у Києві святкують Ураза-байрам — кінець місяця Рамадан
Köçüciler içün şahsiy evine kredit. Yañı programması aqqında belli olğanı,Кредит для переселенців на власне житло. Що відомо про нову програму
Eñ kiçik olğanlar içün silâ,Зброя для найменших
“Şuraviy zamanında jurnalistikada kerçekten çalışmağanıma minnetdarım”. “Qırım” gazetinıñ baş muariri Bekir Mamutov ile intervyü,"“Вдячний долі, що я в радянській журналістиці практично не працював”. Інтерв’ю з головним редактором газети “Qirim” Бекіром Мамутовим"
Herson vilâyetiniñ 8 noqtasında tek rusiye telekorüvi yayınlay,На Херсонщині у 8 населених пунктах мовить тільки російське телебачення
İşğal etilgen Simeizde ukrain yazıcı Mihail Kötsübinskiyniñ hatıra künü,День пам’яті українського письменника Михайла Коцюбинського в окупованому Сімеїзі
“Babam yahşı bir adam”. Teymur Abdullayev içün ceza tevqifhanesinde bir yıl,«Мій батько – хороший». Рік у ШИЗО для Теймура Абдуллаєва
Bu afta devamında rus işğalciler Qırımda bir qaç tintüvlerini keçirdi,Цього тижня російські окупанти провели в Криму серію обшуків. Що відбувається
İlver Ametovnıñ müzey evi ve qarşısına açılğan cinayet davası,Будинок-музей Ільвера Аметова і кримінальна справа проти нього
Rusiye Qırım sakinlerini teraktlarnen qorquza v cenkâver vaziyetini qızıştırta. Malümat olaraq,Росія погрожує кримчанам терактами та займається військовими провокаціями. Що відомо 
"""Men kene jurnalistikanen oğraşmağa isteyim"". Sabıq siyasiy mabüs Nariman Memedeminovnıñ ikâyesi",“Мені б хотілося повернутися в журналістику”. Історія колишнього політв'язня Нарімана Мемедемінова
"Qırımtatar jurnalistikası künü: il gazet ""Terciman""dan işğal şaraitindeki jurnalistikağa qadar",День кримськотатарської журналістики: від першої газети “Терджиман” до журналістики в умовах окупації
Rusiye Ukraina ile sıñırda ordusını toplamağa devam ete. Belli olğanı,Росія продовжує стягувати до кордону з Україною свої війська. Що відомо
