crh_Latn,eng
Çernihiv vilâyetinde veteranlar ve aileleri içün “Sağlıq tüzetüvi” leyhası başlatıldı,“eRecovery” project launched in Chernihiv region for veterans and their families
EU4Businessten programma çerçivesinde zarar körgen ve işğalden azat etilgen bölgelerden iş insanları eñ çoq grant aldılar,Entrepreneurs from the affected and de-occupied regions received the most significant number of EU4Business grants under the program
Donetsk vilâyetinden Ukrainanıñ telükesiz bölgelerine mecburiy tahliye çerçivesinde eñ az 100 biñ vatandaş köçti,"Over 100,000 individuals relocated to safe areas in Ukraine as part of the mandatory evacuation from Donetsk Oblast"
"ReNazirligi, Adliye nazirligi ve cemaat arbapları işğalden azat etilgen topraqlardaki adliye organlarınıñ yañıdan çalışmasını muzakere ettiler","The Ministry of Reintegration, the Ministry of Justice, and representatives from the public sector discussed the resumption of justice operations in the previously occupied territories"
Cenk vaziyeti devrinde eñ az 173 milliard grivna irişilir kreditlerni berdiler,
Oşçadbankta pensiya alıcılarnıñ identifikatsiyası içün müddeti uzatıldı – Ükümetniñ qararı,The government has extended the time limits for identifying pension recipients in Oschadbank
Ukraina vatandaşlarınıñ VİETdan ketmesi meseleleri idare ştabınıñ nevbetiy oturışı keçirildi,The Coordination Headquarters held a regular meeting to discuss the departure of Ukrainian citizens from the TOT
Volundaki İdare merkeziniñ yardımınen cebege yaqın topraqlardan 1600 bala sağlığını tüzetti,The Coordination Center in Volyn assisted in rehabilitating 1600 children from the frontline areas
Rivne şeerinde veteranlar içün yañı şifqa-reabilitatsiya korpusını quralar,A new medical and rehabilitation building is being constructed in Rivne for veterans
İdare etmek – netice anahtarıdır,Coordination is the key to success
Ukrainalılarnıñ qışlamaları içün İsveçiya yardım ayıra,Switzerland is providing extra assistance to help Ukrainians during the winter
ReNazirligi işğal etilgen cemaatqa mina telükesi işaretlerini bere,The Ministry of Reintegration has provided mine safety warning signs to communities that have been de-occupied
ReNazirligi DAKniñ yerleştirilmesi içün tazminatqa daa 19 million grivna üleştirdi,The Ministry of Reintegration transferred over 19 million UAH to compensate for IDP accommodations
Ukraina VİETda bulunğan ya da rusiyege sürgün etilgen statuslı balalarnı qorçalamasını pekite,Ukraine is enhancing the protection of children who have become stateless or have been deported to russia
Vatandaşlarnı destek idare merkeziniñ yardımınen Kirovohrad vilâyetinde eñ az 10 biñ DAK ruhiy yardım aldı,
Ukraina Lehistandan daa 5 biñ “starlink” aldı,"Poland has sent an additional 5,000 Starlinks to Ukraine"
Qışlaması içün Almaniya Ukrainağa yardım ayırdı,Germany has provided aid to Ukraine for the winter period
"“Teslim olmaq asla mümkün degil”, – Yuliya Savınska, Kramatorks","“Never give up” – Yulia Savynska, Kramatorsk"
Askerler içün “Milât poçtası”,“Christmas Post” for Defenders
Ukraina içün Felemenk 102 million yevro yardım ayıracaq,The Netherlands allocates €102 million for support to Ukraine
BMTnıñ Baş Assambleyası tecavuzcı bir devletniñ areketlerini takbih etip yañartılğan rezolütsiya tasdıqladı,The aggressor country’s actions are condemned in an updated resolution adopted by the UN General Assembly
"Bu sene ukrainalılarğa 18 biñ oquv vauçerini berdiler, kelecek sene ise daa çoq vauçer bermege planlaştıralar","This year, Ukrainians received over 18,000 education vouchers, with plans for even more next year"
Ukraina 66 ölgen askerniñ bedenini qaytardı,Ukraine returned the bodies of 66 defenders
Cenk vaziyeti devrinde Ükümet faal arbiy areketler topraqlarında devlet ve kommunal mülkini şahsiyleştirmege yasaq etti,The Government prohibited the privatization of state and municipal property in active hostilities territories during the martial law period
Ölgen ya da habersiz ğayıp olğan askerlerniñ aile azalarınıñ imtiyazlarnı qullanmaq aqqına dair şeadetname berüv yol-yoruğı mükemmelleştirildi,The process of issuing certificates for the right to use benefits to family members of fallen or missing military personnel has been enhanced
Ükümet VİETdaki statuslı balalarğa dair kontrolını arttırdı,The government is increasing its control over status children in TOT
İrına Vereşçuk Milât sabalığında iştirak etti,Iryna Vereshchuk participated in the Christmas Prayer Breakfast
Hayaller yerine ketirile: vaqtınca işğal etilgen topraqlardan daa bir oğlan qaytarıldı,Dreams come true: another boy returns from the temporarily occupied territory
"Kıyiv VAMniñ uzurındaki İdare merkezi, tınç yaşağan ealiniñ qaysı meselelerini al ete",
Hersonda işğalciler gumanitar yardım yedegini yoq ettiler,The occupants destroyed a warehouse with humanitarian aid in Kherson
Diiada interaktiv harita olaraq sığınaqlar aqqında malümat peyda olacaq,Diia will provide an interactive map with information on available shelters
BMTnıñ qaçaqlar meseleleri agentligi (BMTnıñ QMA) “Prıhıstok” programmasına tazminat içün 10 million dollar ayıra,
Ükümet DAKni müessiselerde bedava yerleştirüv tazminatına 20 million grivna ayırdı,The Government allocates more than 20 million UAH for compensation for free accommodation of IDPs in institutions
ReNazirliginiñ cenkten zarar körgen ealini destek etici esas programmaları,The Ministry of Reintegration has major programs in support of the war-affected population
Ükümet vaqtınca işğal etilgen topraqlarda bulunğan statuslı balalarğa diqqat celp ete,The government is focusing on children’s status in the temporarily occupied territories
11 ay boyunca Milliy malümat bürosınıñ sıcaq hattına 118 biñ kere telefon ettiler,"The National Information Bureau hotline received over 118,000 calls in the first 11 months of this year"
İtaliyada “Nova poşta” bölügi açıldı,Nova Pozhta opens an office in Italy
"“Bizim balalarımız ve kelecegimiz içün işime inanam”, – Tetâna Ageyeva, Mıkolayiv şeeri","“I believe in my own business for the sake of our children and our future,” said Tatiana Ageeva from Mykolaiv"
Dnipropetrovsk vilâyetindeki mikro ve küçük biznes içün grantlar,Grants for micro and small enterprises in Dnepropetrovsk region
Birinci hanım Olena Zelenska Umumiy ukrain ruhiy sağlıq programmasınıñ bölge idarecilerinen körüşti,First Lady Olena Zelenska Meets with Regional Coordinators of the All-Ukrainian Mental Health Program
“Bu yol omuz-omuzımızğa alıp ketecegimizge inanam” – Ukraina ve Moldovanıñ ABe kirşi aqqında aytışmalarnıñ başlanğıcı aqqında İrına Vereşçuk,“I believe that we will go this way side by side” – Iryna Vereshchuk on the start of negotiations for Ukraine’s and Moldova’s accession to the EU
"Ukraina Dünya bankından 1,3 milliard dollar yardımını alacaq",The World Bank will provide Ukraine with an additional $1.3 billion in assistance
Ükümet VİETda olğan ya da rfa qanunsız olaraq sürgün etilgen öksüz qalalarğa dair müim bir qarar berdi,The government has adopted a significant resolution concerning orphans who have been placed in the TOT or illegally brought to russia
Messencerler vastasınen ReNazirliginiñ 15-48 sıcaq hattına hitap etmek,You can contact the hotline of the Ministry of Reintegration 15-48 via messengers
Donetsk vilâyetiniñ işğalden azat etilgen topraqları yañıdan qurula,
"Ükümet, bazı DAKge devlet yardımını ödemege devam etmek meselesini işley",The government is considering continuing payments to specific categories of internally displaced persons
"DAK, Sumı vilâyetindeki İdare merkeziniñ işiniñ esas yönelişidir",The Coordination Center in Sumy region focuses mainly on IDPs
Halqara gumanitar uquq – tınç yaşağan vatandaşlar ve askerlerni kes-keskin şekilde farq etmek,International humanitarian law should make a clear distinction between civilians and military personnel
11 ay boyunca ReNazirliginiñ 15-48 sıcaq hattına 550 biñ kere telefon ettiler,"The Ministry of Reintegration’s 15-48 hotline received over 550,000 calls in 11 months"
İsveçiya Ukrainağa 120 million yevrolıq yardım berecek,Sweden will provide Ukraine with 120 million euros in assistance
Zaporijjâda deyerli 233 biñ DAK bar – İdare merkezi olarnı destek ete,
Soñ eki afta ReNazirliginiñ 15-48 sıcaq hattına hitaplar aqqında esabat,Report on calls to the Ministry of Reintegration hotline 15-48 for the past two weeks
Altı ay devamında Harkiv İdare merkezi 104 biñ DAKge yardım etti,"In six months of work, the Kharkiv Coordination Center has assisted 104,000 IDPs"
"“Halqara cemaat qattı adımlar yapmaq kerek. Sadece rezolütsiyalar endi yardım etmez”, – Ukrain balalarını qaytarmaq içün halqara birleşmeniñ oturışında İrına Vereşçuk","“We need decisive action from the international community. Resolutions alone are insufficient,” stated Iryna Vereshchuk during the meeting of the International Coalition of Countries for the Return of Ukrainian Children"
Ukrainalılarnıñ tibbiy hızmetlerine Avropa eyyeti 4 million yevro üleştirecek,The European Commission will provide €4 million for medical care for Ukrainians
"“Yañı yerde biznes açmaq mümkün”, – Ğanna Kuklevska, Harkiv vilâyeti","“Business in a new place is quite realistic,” said Hanna Kuklevska from Kharkiv region"
“Prıhıstok” programması çerçivesinde orta küz ayındaki ödemelerge daa 105 million grivna ayırıldı,Over 105 million UAH allocated for October payments under the “Shelter” program
"İlk qış ayında DAK ödemelerine endi 5,9 milliard grivna ayırılacaq",More than 5.9 billion UAH allocated for IDP payments in December
Qış mevsiminde Harkiv vilâyetiniñ cebege yaqın topraqlarından eñ az 18 biñ ev hocalığı bedava yaqarlıq alacaq,More than 18 thousand households from the front line areas of Kharkiv region will receive fuel for the winter free of charge
"Devlet içinde alınğan kişiler içün energiya semereli evlerniñ qurulmasına KfW alman bankı daa 24,2 million yevro ayıracaq",German bank KfW has allocated €24.2 million for energy-efficient housing for IDPs
"Boş ayda tahliye etilgen insanlarğa para yardımını ödemek içün ReNazirligi 8,4 million grivna üleştirdi","In November, the Ministry of Reintegration transferred more than 8.4 million UAH for financial assistance to evacuees"
DAK içün meskenge Almaniya daa 17 million yevro ayıra,
Hanelerde yerleştirilgen DAK içün tazminat ödemek maqsadınen bu seneniñ başından berli Ükümet 338 million grivna ayırdı,"Since the start of the year, the Government has paid over 338 million UAH in compensation for the accommodation of IDPs in institutions"
"Telükesizlik ve mudafaa saası, işğalden azat etilgen topraqlardaki devlet akimiyetiniñ qaytarılmasınıñ eñ müim qısmıdır",The defense and security sector is crucial for restoring the power of the state in the previously captured territories
"UTHniñ Milliy akademiyasında “Ukrainanıñ işğalden azat etilecek topraqlarında yañıdan quruv, uquqiy nizam ve telükesizlik teminatı meseleleri” adlı ilmiy ve ameliy seminar keçirildi",
Boş ayda ReNazirliginiñ sıcaq hatlarına 24 biñ hitap yollandı,"In November, the Ministry of Reintegration’s hotlines received over 24,000 requests"
"Tecavuzcı bir devlet, ukrain balalarınıñ cinaiy sürgünligi ve qanunsız vasiyliginiñ neticelerini tamamınen qıymetlendirmey",The aggressor country greatly underestimates the consequences of criminal deportation and illegal adoption of Ukrainian children
“Prıhıstok” programması çerçivesinde berim ayındaki ödemelerge daa 62 million grivna ayırıldı,Another 62 million UAH allocated for September payments under the Shelter program
Boş ayda Milliy malümat bürosı eñ az 14 biñ hitap aldı,The National Information Bureau received over 14 thousand appeals in November
Ukrainalılar içün Çehiya vaqtınca qorçalav müddetini 2025 senesine qadar uzattı,The Czech Republic will continue to provide temporary protection for Ukrainians until 2025
"Lviv vilâyetindeki İdare merkezi gumanitar, ruhiy, uquqiy ve maliyeviy yardım ete",
"Haqlara Qırmızı Haç, Belarus Qırmızı Haçınıñ azalığını toqtattı",International Red Cross suspends membership of Belarusian Red Cross
Esirlikten azat etilgen daa 12 ukrain qadını Lehistanğa reabilitatsiyanı keçirdi,Another 12 Ukrainian women released from captivity undergo rehabilitation in Poland
Donetsk vilâyetiniñ sakinleri içün banklarnıñ daa 2 mobil bölügini açtılar,2 additional mobile bank branches opened for people in Donetsk area
"“Yañı vaziyet – yañı imkândır”, – Yevheniya Ğolub, Semenivka","“New circumstances mean new opportunities,” Yevhenia Holub, Semenivka"
"Milliy bank, ecnebiy para bermek sıñırlamasını lâğu etti",The National Bank has removed limitations on foreign currency sales
Bazı devlet içinde alınğan kişilerniñ daa buçuq senege ödemelerini avtomatik olaraq almalarınen bağlı daa bir añlatıcı,Additional clarification on the automatic extension of payments for another six months for certain categories of IDPs
Ükümet ReNazirliginiñ teşebbüsini destek etti: esir etilgen insanlarnıñ ödemelerine 18 million grivna üleştirdiler,The government supported the initiative of the Ministry of Reintegration: 18 million UAH for payments to prisoners
"Luhansk VAMniñ uzurındaki Vatandaşlarnı destek idare merkezi, zarar körgen ealiniñ meselelerini kompleksl al ete",The Luhansk Military Administration’s Coordination Center for Civilian Support is working to provide a complete resolution of the problems of the affected population
Ukrainanı yañıdan quruv menfaatına aktivlerni tevqif etmek içün qanun leyhasını AQŞ Kongressine kirsettiler,Law to freeze assets for Ukraine’s recovery has been introduced in U.S. Congress
Qaysı DAK gruppaları daa buçuq sene ödemeler alacaq?,Which categories of IDPs will have their payments automatically extended for another six months?
ReNazirligi DAKniñ bedava yerleşmeleri içün daa 49 mln grivna üleştirdi,The Ministry of Reintegration has given over 49 million UAH to compensate for IDPs’ housing
“Nasılsıñ” umumiy ukrain ruhiy sağlıq programmasınıñ neticelerini bildirdiler,Results of the implementation of the All-Ukrainian Mental Health Program “How are you?
Ukraina cenkte ğalebe qazanğande AQŞ ve ortaqları destek etecekler,
Bu sene biznes 88 milliard grivnalıq irişilir kreditler aldı,"This year, companies got affordable loans for 88 billion UAH"
İşğalden azat etilgen topraqlarnıñ sakinleri devletten ve hayriyecilerden gumanitar yardım alalar,Residents of the de-occupied territories receive humanitarian aid from the state and charity organizations
AŞPA ukrain balalarını qorçalav meseleleri eyyetini teşkil etti,The PACE established a committee on the protection of Ukrainian children
2024 senesi içün bücet: prioritetler deñişmedi,Budget-2024: priorities remain unchanged
Vaqtınca işğal etilgen Qırımnıñ coğrafiy adlarına tarihiy qırımtatar tilinde adlarını qaytaracaqlar,Geographical names in temporarily occupied Crimea will be restored to their historical names in Crimean Tatar language
Devam etken (bitken) arbiy areketler ya da vaqtınca işğal etilgen topraqlarnıñ cedveline deñişmeler kirsetildi,The approved list of areas where hostilities are (were) carried out or temporarily occupied
Çernihivde devlet içinde alınğan aileler içün modul şeerçigini açtılar,The modular city for internally displaced families opened in Chernihiv
Donetsk vilâyetinden Ukrainanın telükesiz bölgelerine tahliye devam ete,Evacuating Donetsk region residents to safe parts of Ukraine is ongoing
"“Er vaqıt areket etmek kerek”, – Tetâna Filonenko","“You always have to act,” Tetyana Filonenko, Sloviansk"
Devlet içinde alınğan balalar içün göñülliler “Şahsiy Mıkolay” leyhasını başlattalar,
Ecnebiy ülkelerde bulunğan ukrainalılar beş yüz biñ pasport vesiqasını aldılar,Ukrainians living abroad have already obtained over half a million passports
Qırımtatar tili Milliy korpusı taqdim etildi,
"UNICEF, Ukrainanıñ işdeşlik yapmağa devam etkeni işançlı bir ortaqtır",UNICEF is a reliable partner that Ukraine will continue to work with
Mahsus oturışta Volındaki gumanitar koridor vastasınen ukrainalılarnıñ qaytmaları meselesini muzakere ettiler,The return of Ukrainians through the humanitarian corridor in Volyn is under discussion at the special meeting
Boş aynıñ 25-i Ğolodomor fedalarını hatıra künü,November 25 – Holodomor Remembrance Day
Duşmannen işdeşlik yapqan insanlarnıñ ecenbiy ülkelerde yaşamaq ıntıluvlarını bozacaqlar,Those who try to get legalized abroad will be suppressed
Orta küz ayında DAKni yerleştirgen 90 biñ insanğa tazminat alır,"Over 90,000 homeowners will receive compensation for housing IDPs in October"
"Buçuq sene boyunca Sumı vilâyetindeki gumanitar koridor vastasınen eñ az 13,5 biñ ukrai vatandaşı qayttı","Over 13,500 Ukrainians have returned via the humanitarian corridor in Sumy region in six months"
Vitse baş nazir İrına Vereşçuk Ukrainadaki Avstraliya Elçisi Brüs Edvardsnen körüşti,"Vice Prime Minister Iryna Vereshchuk meets with Bruce Edwards, the Australian Ambassador to Ukraine"
Silâlı tecavuz neticesinde qıyın yaşayış vaziyetinde bulunğan DAKni destek etmelimiz,We must support IDPs who have faced difficult circumstances as a result of armed aggression
Qırımtatar tiliniñ inkişafına mahsus isse qoşqan insanlarnı mukâfatlandırmağa planlaştırırlar,It is planned to create a special award for contributions to the development of the Crimean Tatar language
Avropol rusiyeniñ Ukrainağa qarşı haqlara cinayetlerini taqiq etmege yardım etecek,Europol to help investigate russia’s international crimes against Ukraine
“Prıhıstok” programmasına dair berim ayındaki ödemelerge tahminen 30 million grivna  üleşitirdiler,About 30 million UAH allocated for September payments under the “Shelter” program
"Ecnebiy ülkelerde bulunğan ukrainalılar, habersiz ğayıp olğan aqrabalarını tapmaq içün DNK ala bilirler",Ukrainians abroad can donate DNA to search for missing relatives
"Parlament, VİETda tasil alğan insanlarnıñ oquv neticelerini qıymetlendirüv mehanizmini tesbit etken qanunnı tasdıqladı",Parliament adopts a law providing for a mechanism to assess the learning outcomes of people educated in the TOT
Tafsilâtlı ikâye: rusiyeden Harkiv vilâyetli 37 bala nasıl qaytarıldı,The story in detail: how 37 kids from Kharkiv region were brought back from russia
İtibar ve azatlıq arzusınen tolumız,Charged with pride and a desire for independence
Ukraina 94 ölgen mudafaacını qaytardı,Ukraine returned the bodies of 94 defenders
Vitse baş nazir İrına Vereşçuk Save the Children in Ukraineniñ vekillerinen körüşti,Vice Prime Minister Iryna Vereshchuk met with a Save the Children delegation in Ukraine
Bu sene boyunca Harkiv vilâyetiniñ deyerli 1 million sakini halqara gumanitar yardım aldı,Almost 1 million people living in Kharkiv region received international humanitarian aid this year
"“Ellerini qavuştırmaymız ve çoq şey yapmağa yetiştiremiz”, – Anastasiya Zakrevska","“We stay active and do a lot,” Anastasia Zakrevska, Donetsk"
İşğalden azat etilgen topaqlardan telekom şirketşeri internetni yañıdan tamin etmek içün grant ala bilirler,Telecom firms from the de-occupied territories are eligible for grants to restore the Internet
Esir etilgen insanlarğa devlet yardımını ödemek içün Ükümet daa 180 million grivn ayırdı,The government allocates over 180 million UAH for state aid payments to prisoners
Esir etilgen olaraq tanıma meseleleri eyyeti: işniñ şimdiki neticeleri,Commission on establishing the fact of captivity: interim results of work
İşğalden azat etilecek topraqlarda çalışmaları içün uquq qorçalayıcı ve makeme organları hazdimleriniñ yedegini şekillendirmek içün ğayretler köstermek kerekmiz,We should try to create a reserve of law enforcement and judicial officers to work in the de-occupied territories
"2024 senesi DAK içün imtiyazlı mesken kreditleri programmasına 877,5 million grivna üleştirilir","In 2024, 877.5 million UAH will be allocated for the program of preferential housing loans for IDPs"
"Umumen bu sene DAKni destek etici programmalarğa 82,7 milliard grivna ayırılacaq","This year, the IDP support programs will receive more than 82.7 billion UAH in total funding"
Ukrainanıñ işğalden azat etilgen topraqlarda devlet organlarınıñ faaliyetini yañıdan yaratuv meseleleri oturışı keçirildi,A meeting on the resumption of activities of state bodies in the de-occupied territories of Ukraine was held
Cebege yaqın ve işğalden azat etilgen topraqlardan medialar 2 millionğa qadar grant ala bilirler,Media from the front line and recently freed territories can get up to a 2 million UAH grant
Ukrainağa gumanitar yardımğa ABden 110 million yevro,EU is providing an additional €110 million in humanitarian aid to support Ukrainians
Vitse baş nazir İrına Vereşçuk: qorçalayıcılarnıñ aileleri içün kâğıt vesiqalarını aluv ceryanını pek azlaştırmalımız,Vice Prime Minister Iryna Vereshchuk: We must radically reduce paperwork for families of defenders
"Qurucılıq tehnika, azat etilgen topraqlarnı yañıdan qurmaq içün müim bir yardımdır",Construction machinery is vital in the restoration of de-occupied territories
Vitse baş nazir İrına Vereşçuk bala bağçaları çalışmağan bölgelerde küçük balalarnen DA ailelerge yardım ödemege devam etmege teklif etti,Vice Prime Minister Iryna Vereshchuk proposes extending payments to IDPs for families with young children in regions where kindergartens are not working
Ukraina ve Azerbaycan arasında strategik ortaqlıqnıñ yañı basamağı şekillene,A new stage of strategic partnership between Ukraine and Azerbaijan is being formed
Devlet içinde alınğan kişilerniñ iş tapmaları içün devlet qoşma çarelerni qıdıra,The government is searching for more job options for IDPs
DAKniñ cemaatqa inetgartsiyasını yahşılaşturmaq içün grant leyhalar konkursı ilân etildi,
Bizim ortaqlarımıznıñ iqtisadiy ve arbiy destegi Ukrainağa bu qış yaşamağa yardım etecek,Ukraine will get through the coming winter with the economic and military support of our partners
Donetsk vilâyetinde Oşçadbanknıñ daa bir mobil bölügi çalışmağa başladı,Another Oschadbank mobile branch was opened in the Donetsk region
"“Menim işim – ukrainalılarğa yardım etmektir”, – Tetâna Çernikova, Donetsk","“My job is to help Ukrainians,” Tatiana Chernikova, Donetsk"
"Boş ayda DAK ödemelerine endi 5,8 milliard grivna ayırıldı",Over 5.8 billion UAH allocated for IDP payments in November
Danimarka 2025 senesi saban ayına qadar ukrainalılarnıñ yaşayış izinlerini uzattı,Denmark will prolong the validity of residence permits for Ukrainians until March 2025
Litvaniyadan Ukraina içün eki million yevro,Two million euros for Ukraine from Lithuania
Boş ayda DAK ödemelerine para vaqtında ayırıldı,IDP payments for November will be financed on time
DAK Şuralarınıñ başları ihtisasiy İdare ştabınıñ terkibine qatılacaqlar,Heads of IDP Councils will now join the specialized Coordination Center
Ukrainağa diqqat celp etip tutmaq içün daa çoq ğayret kerek,More effort is needed to maintain attention to Ukraine
DAKni destek astyapısını teşkil etmek,
"Bugünden e-İş insanı servisi yardımınen biznes, hızmet paketini ala bilir",
Lviv vilâyetinden deyerli 1800 DAK işnen temin etildi,
Müessiselerarası Devet akimiyetini yañıdan yaratıv ve İAETnıñ ealisiniñ reintegratsiyası strategiyasını azırlamaq meseleleri iş grupası teşkil etildi,
İrına Vereşçuk Dünya bankınıñ vekillerinen körüşti,
rfnıñ silâlı tecavucı şartlarında halqara gumanitar uquq meselesi ayrıca aktual ve müimdir,
Orta ğayretlernen – statuslı balalar içün oñaytlı şartlar,
"Orta küz ayında tahliye etilgen insanlarğa para yardımını ödemek içün ReNazirligi 20,9 million grivna üleştirdi",
Bugün “Katerına Osadçanıñ teşkilâtı” hayriye teşkilâtı açıldı,
"Ğalebe qazanmaq içün hay-tek devlet olmalımız, – DEV Challenge IT yarışları tedbirinde İrına Vereşçuk",
Orta küz ayında Milliy malümat bürosı eñ az 15 biñ hitap aldı,
"“Qorqmaq kerekmey, areket etmek kerek!” – Diana Buhrova, Dnipro","“You shouldn’t be scared, act!” – Diana Bugrova, Dnipro"
"2023 senesiniñ 9 ayı devamında gumanitar teşkilâtlar, doquz million ukrain vatandaşını destek ettiler","During the first nine months of 2023, humanitarian organizations assisted nine million Ukrainians"
Cenk başlağan soñ Ukraina ecnebiy diplomatik vekâletleri deyerli 20 biñ ukrainalığa şeadetname berdiler,"Since the start of the war, Ukrainian embassies overseas provided around 20 thousand Ukrainians with certificates to return home"
Umumiy ukrain DAK Şuraları forum bitti: neticeler,
Ukrainada cemaatnı destek etmek – Avropa iqtisadiy ve içtimaiy eyyetiniñ faaliyetiniñ prioritetlerinden biridir,Supporting the community in Ukraine is a top priority of the European Economic and Social Committee
Orta küz ayında ReNazirligi esir etilgen insanlarnıñ ailelerine 60 million grivna ödedi,"In October, the Ministry of Reintegration sent 60 million UAH to help families of prisoners"
İrına Vereşçuk: 529 DAK Şurası – bu tür qısqa müddette yüksek bir köstergiçtir,Iryna Vereshchuk: 529 IDP Councils is a good number for such a short period
İşğalden azat etilgen Mıkolayiv vilâyeti: yañıdan quruv devam ete,Reconstruction in the de-occupied Mykolaiv region continues
Orta küz ayında ReNazirliginiñ sıcaq hatlarına deyerli 24 biñ hitap yollandı,"In October, the Ministry of Reintegration hotlines received over 24,000 calls"
Orta küz ayında “Evge yol” leyhası çerçivesinde 17 bala qaytarıldı,"In October, 17 kids were brought back as a part of the “Way Home” project"
Bugünden DAK ödemeleri ailege ödenir,IDP payments will be provided per family
Birinci Umumiy ukrain DAK Şuraları başlandı,First All-UkrainianForum of IDP Councils launched
Yañı veteran siyaseti kontseptsiyasını taqdim ettiler,A proposal for a Veterans Policy was presented
"Orta küz ayında DAK ödemelerine endi 5,6 milliard grivna ayırıldı",Over 5.6 billion UAH already allocated for IDP payments in October
"Luhansk topraq cemaatı ve başqa zarar körgen vilâyetler içün Ükümet daa 1,5 mlrd grivna ayırdı",The government provides an additional 1.5 billion UAH to local governments in Luhansk and other affected regions
Sürgün etilgen ukrain balalarını qaytarmaq içün halqara devletler birleşmesini teşkil etmege teklif etildi,It is suggested to create an international coalition of states for the return of deported Ukrainian children
Deyerli 2200 insan Ukrainanı yañıqan qurmağa istey,"Almost 2,200 individuals want to participate in the reconstruction of Ukraine"
