crh_Cyrl,eng
Къартий айланып артына бакъты ве шу ань къачып кетмеге тедарикленген огъланчыкънынъ курткасы четини къапкъачлады., She turned just in time to seize a small boy by the slack of his roundabout and arrest his flight.
" - То-о-ом, къайда гъайып олдынъ?"," Tom, where did you disappear to?"
"– Эбет, эбет!"," - Yes, yes!"
Магъазгъа бакъмагъа унуткъаным да!, I forgot to look at the store.
Сен анда не япа эдинъ?,"What you been doing in there?"""
– Ич бир шей.,- Nothing.
–  Насыл ич бир шей?, - How is it nothing?
Эллеринъе бакъ. ,Look at your hands. 
Агъызынъа бакъ.,And look at your mouth.
Дудакъларынъны ненен булгъаладынъ?,"What IS that truck?"""
"– Бильмейим, тизе!","""I don't know, aunt."""
– Мен исе билем.,"""Well, I know."
"Бу – татлы, мына недир о.",It's jam — that's what it is.
"Мен санъа: татлыгъа тийме, акс алда теринъни сыдырым, деп къыркъ кере айттым!",Forty times I've said if you didn't let that jam alone I'd skin you.
Анавы фышкъынны берчи манъа!,Hand me that switch.
Фышкъын авагъа котерильди – фелякеттен къачып къуртулмакънынъ чареси ёкъ.,The switch hovered in the air — the peril was desperate — My!
"– Вай, тизе, артынъыздаки шей недир?!"," - Oh, look behind you, aunt?!"
"Къартий къоркъа-къоркъа, окчелери устюне айланды, озюни фелякеттен къуртармакъ ичюн этеклерини джыйыштырмагъа ашыкъты.","The old lady whirled round, and snatched her skirts out of danger."
"Огъланчыкъ исе шу ань къачты, юксек агъач исарнынъ устюне чыкъып, озюни сокъкъакъа атты.","The lad fled on the instant, scrambled up the high board-fence, and disappeared over it."
"Полли апте бир ань къатып къалды, сонъра насылдыр бир мерхаметликнен кулип йиберди.","His aunt Polly stood surprised a moment, and then broke into a gentle laugh."
"– Айгиди сени, огъланчыкъ!", - Prankster boy!
"Онынъ къурназлыкъларына алышмакъ кереким, эльбет."," Of course, I have to get used to his dirty tricks."
О манъа аз шакъалар япамы?,Ain't he played me tricks enough? 
Бу кереси бираз акъыллыджа олмакъ керек эдим., It's time for me to wise up.
"Лякин, къарт ахмакътан да бетер ахмакъ олмаса керек.",But old fools is the biggest fools there is.
"Къарт копекни янъы оюнларгъа огретмек кучь, деп ботен ерде айтмагъандырлар.","Can't learn an old dog new tricks, as the saying is."
"Амма, ах меним Аллахым, бу огъланчыкънынъ къурназлыкълары да чешит тюрлю: эр кунь бир шей тюшюнип чыкъара, акъылында не олгъаныны къайдан биледжексинъ?","But my goodness, he never plays them alike, two days, and how is a body to know what's coming?"
"Дерсинъ о, сабырым не вакъыт тюкенеджегини биле ве мени къыйнамакътан къыйнай, бир дакъкъанынъ ичинде мени шашмалата ташлай я да кульдюре, шунда меним къолларым йиберилип кете, фышкъыннен урмагъа биле чарем къалмай."," And the main thing  is that he knows where the limit of my patience is,and if he makes me laugh or even for a minute confuse me, then İ can`t even spank him properely."
"Догъру, мен озь боюн-борджумны эда этип оламайым, Аллах мени багъышласын.","I ain't doing my duty by that boy, and that's the Lord's truth, goodness knows."
"Бала фышкъынсыз тербиеленмез, деп мукъаддес китапта язылгъандыр.","Spare the rod and spile the child, as the Good Book says."
"Мен исе бойнума гунях алам, оны эркелейим, шунынъ ичюн де бу дюньяда эм мен чекишим, эм о.","I'm a laying up sin and suffering for us both, I know."
"Билем, о, турушы-юрюшинен бир шейтанчыкъ кесильген, лякин мен не япа билем?","He's full of the Old Scratch, but laws-a-me!"
"О, меним рахметли татамнынъ огълу да!",He's my own dead sister's boy!
"Гъарипчик даа кичкене, оксюз балачыкъны насыл этип урайым."," Poor thing, and I ain't got the heart to lash him, somehow."
"Эр кереси оны джезалайджакъ олгъанымда мен онъа къачып кетмеге имкян берем, сонъундан исе видждан азабы чекем.","Every time I let him off, my conscience does hurt me so, and every time I hit him my old heart most breaks."
Не айтаджагъымны да бильмейим., İ don't know what to do.
Ураджакъ олсам меним къарт юречигим парча-кесек олып кете., My heart breaks when I try to hurt him.
"Мукъаддес китапта: инсан омюри къыскъа ве яныкъ-гъамларгъа толу, деп догъру язылгъан экен.", No wonder the Bible says the human age is short and full of sorrows.
Пек догъру язылгъан!, Gospel truth!
"Бугунь о, мектепке бир даа бармаз, акъшамгъадже савсавланып юреджек, меним боюн-борджум исе оны джезаламакътан ибарет, мен борджумны одерим – ярын мен оны чалышмагъа меджбур этерим."," Here you are: today he is slipping away from school, which means that İ will punish him tomorrow-let him work hard."
"Бу, эльбетте, къарардан зияде къаттылыкъ олып корюнир, чюнки ярын бутюн огъланчыкълар байрам нишанлайджакълар, лякин мен не япа билем, онынъ бу дюньяда энъ севмеген шейи – чалышмакъ.","It's mighty hard to make him work Saturdays, when all the boys is having holiday, but he hates work more than he hates anything else, and I've GOT to do some of my duty by him, or I'll be the ruination of the child."""
"Бу кереси оны джезаламасам олмайджакъ, акс алда мен сабийчикни текмиль бозарым."," This time I will not be able to punish him, otherwise I will completely destroy him."
Том керчектен де бугунь мектепке бармады., Tom didn't go to school today.
Вакъытыны пек шенъ кечирди., So he had a great time.
"Акъшам устю эвлерине зар-зорнен етишип кельди, зенджи огъланчыгъы Джимге акъшам емегинедже къалгъан вакъыт ичинде одун кесмеге, ёнгъа азырламагъа ярдым этмек керек эди.","He got back home barely in season to help Jim, the small colored boy, saw next-day's wood and split the kindlings before supper."
"Даа догърусы, Джим ишнинъ дёртте учь пайыны япкъандже озюнинъ кунь девамында олып кечкен сергузештлерини айтып етиштирмек керек эди.",Аt least he was there in time to tell his adventures to Jim while Jim did three-fourths of the work.
"Томнынъ кичик къардашы Сид (огей къардашы) айтылгъан ишлернинъ эписини энди чокътан беджерген – ёнгъаларнынъ бирини къалдырмайып, джыйыштырып, ерине алып кетип къойгъан эди.",Tom's younger brother (or rather halfbrother) Sid was already through with his part of the work (picking up chips).
"Сид юваш, сёз динълеген огъланчыкъ, чешит тюрлю къурназлыкълар япмай, олур-олмаз шейлер япып, уйкенлерни чокъ раатсызламай."," He was a quiet boy, and had no adventurous, trouble-some ways."
"Том чешит тюрлю онъайтлы фурсат булуп, шекер парчачыгъыны айындыраджакъ олып, акъшамлыкъ емегини ашаркен, Полли апте бутюн кунь къайдаларда юрьгенини бильмек истеп онъа чешит суаллер бере, тузакъкъа тюшюреджек ола.","While Tom was eating his supper, and stealing sugar as opportunity offered, Aunt Polly asked him questions that were full of guile, and very deep—for she wanted to trap him into damaging revealments."
"Эр анги бир саде гонъюлли инсан киби, Полли апте озюни уста бир дипломат, деп сая ве озюнинъ адий арекетлерини буюк бир усталыкъ деп таный.","Like many other simple-hearted souls, it was her pet vanity to believe she was endowed with a talent for dark and mysterious diplomacy, and she loved to contemplate her most transparent devices as marvels of low cunning."
 О ауты:,Said she:
"– Том, – дей о, – бугунь мектепте пек сыджакъ олгъандыр, э.","""Tom, it was middling warm in school, warn't it?"""
"– Эбет, мадам."," - Yes, madam."
"– Пек сыджакъ олды, ойлеми?","""Powerful warm, warn't it?"""
"–Эбет, мадам.","-Yes, madam."
"– Том, бу къадар сыджакъ ола турып, сен озенде ювунмакъ истемединъми?","""Didn't you want to go in a-swimming, Tom?"""
"Том бир шейлер дуйды, гъалиба-къальби къоркъу кольгесинен орьтюльди.",A bit of a scare shot through Tom—a touch of uncomfortable suspicion.
Полли аптенинъ бетине дикъкъатнен бакъты.,He searched Aunt Polly's face.
Лякин онынъ бетинде ич бир шей окъуп оламады., But it told him nothing.
 Ве айтты:,So he said:
"– Ёкъ, мадам деерлик истемедим, – деп джевап берди.","-No'm—well, not very much,-he said."
"Полли апте элини узатып, Томнынъ кольмегини тутып бакъты.","The old lady reached out her hand and felt Tom's shirt, and said:"
"– Терлемегенсинъ биле, – деди о.","""But you ain't too warm now, though."""
"Ве, Полли апте Томнынъ кольмеги къуру олгъанына эмин олып, насылдыр бир мемнюниетликнен тюшюнджеге далды: онынъ мийинде насыл бир айнеджилик гизли олгъаныны кимсе анълап оламады.",And it flattered her to reflect that she had discovered that the shirt was dry without anybody knowing that that was what she had in her mind.
"Лякин Том меселени бир кереден чакъты, ель анги тарафкъа эскенини анълады ве бериледжек суаллернинъ огюни алмагъа тырышты:","But in spite of her, Tom knew where the wind lay, now,so he forestalled what might be the next move:"
– Салкъынланмакъ ичюн башымызны насос астына туттыкъ.,"""Some of us pumped on our heads—mine's damp yet."
Меним сачларым аля даа сылакълар., My hair is still wet.
Коресинъизми? – деди.,"See?""-he asked."
Полли аптенинъ джаны агъырды: мына шу гъает муим къыя себепни насыл этип коре бильмеди!,"Aunt Polly was vexed to think she had overlooked that bit of circumstantial evidence, and missed a trick."
Лякин шу ань онъа янъы бир фикир кельди.,Then she had a new inspiration:
"– Том, я башынъны насос астына тутмакъ ичюн санъа кольмегинънинъ якъасыны тамам мен тиккен еринден чезмек керек эди де?","""Tom, you didn't have to undo your shirt collar where I sewed it, to pump on your head, did you?"
"Къана-а, куртканънынъ огюни ач, бакъайым!","Unbutton your jacket!"""
Томнынъ теляшы бир гъайып олды.,The trouble vanished out of Tom's face.
Курткасынынъ огюни ачты.,He opened his jacket.
Кольмегининъ якъасы тикильген эди.,His shirt collar was securely sewed.
"–Айды, айды."," - Okay, okay."
Сени ич бир вакъыт анъламазсынъ.,"Well, go 'long with you."
"Сен мектепке бармадынъ, ювундынъ, мен бунда эмин эдим.",I'd made sure you'd played hookey and been aswimming.
"Яхшы, мен санъа сертиймейим: сен айнеджисинъ, амма къарардан зияде айнеджи дегильсинъ.","But I forgive ye, Tom. I reckon you're a kind of a singed cat, as the saying is—better'n you look."
Полли апте Томны айнеджиликнен алалмагъанына бираз инджынды.,She was half sorry her sagacity had miscarried.
Лякин бу кереси Том озюни яхшы тарафтан косьтергенине къуванды., Аnd half glad that Tom had stumbled into obedient conduct for once.
Лакъырдыгъа Сид къошулды.,But Sidney said:
"– Хатырымда, сиз онынъ якъасыны беяз йипнен тиккен эдинъиз, – деди о, – якъасынынъ тикиши къара йипнен тикильген!","""Well, now, if I didn't think you sewed his collar with white thread, but it's black."""
"– Эбет, эбет, беяз йипнен тиккен эдим!..","""Why, I did sew it with white!"
Том!..,"Tom!"""
Лякин Том субетнинъ девамыны беклеп отурмады.,But Tom did not wait for the rest.
Одадан чапып чыкъып кетеяткъанда явашчыкътан:,As he went out at the door he said:
"– Энди менден корерсинъ, Сидди!","""Siddy, I'll lick you for that."""
"Ишанчлы ерге гизленип, Том курткасынынъ якъасы артына къадалгъан эки дане балабан йинени козьден кечирди.",In a safe place Tom examined two large needles which were thrust into the lapels of his jacket.
"Бирине беяз йип, дигерине къара йип сарылгъан."," % The were wrapped with threads : one- white, the other one-black."
 О айтты:,He said:
"– Эгер Сид олмагъан олса, йипнинъ анги ренкте олгъаныны корьмез эди.","""She'd never noticed if it hadn't been for Sid."
 Шейтан чарпсын оны!,Confound it!
Амма да иш олды!, And what a manner!
"Де беяз йипнен тике, де къара йипнен тике.","sometimes she sews it with white, and sometimes she sews it with black."
Тиккен сонъ бир тюстеки йипнен тиксе олмаймы… акс алда шашмалай къаласынъ…,I wish to gee-miny she'd stick to one or t'other—I can't keep the run of 'em.
Сидни исе эписи бир дёгерим – берген дерсимни ич бир вакъыт унутмаз!,But I bet you I'll lam Sid for that.
Том бутюн шеэрге намы кеткен нумюне оларакъ косьтериледжек огълан дегиль эди.,He was not the Model Boy of the village.
"Амма о, нумюне оларакъ косьтериледжек огълан ким олгъаныны биле ве ондан нефретлене эди.",He knew the model boy very well though—and loathed him.
"Затен, арадан эки дакъкъа кечер-кечмез о, башына тюшкен бутюн яманлыкъларны унутты.","Within two minutes, or even less, he had forgotten all his troubles."
"Онынъ башына тюшкен аллар уйкенлерни чекиштирген аллардан енгиль олгъаны ичюн дегиль де, шу дакъкъасы оны янъы бир къудретли ихтирас сарып алды ве башы ичиндеки бутюн теляшларны четке итеп ташлады.","Not because his troubles were one whit less heavy and bitter to him than a man's are to a man, but because a new and powerful interest bore them down and drove them out of his mind for the time—just as men's misfortunes are forgotten in the excitement of new enterprises."
Ал-азырда Том къыйметли бир янъылыкънен мешгъуль эди: таныш зенджи адамындан сызгъырмагъа огренди ве о чокътан берли сербест-сербест мезкюр санатнынъ сырларыны менимсеге истей эди.,"This new interest was a valued novelty in whistling, which he had just acquired from a negro, and he was suffering to practise it un-disturbed."
Зенджи къуш киби сызгъыра эди.,It consisted in a peculiar bird-like turn.
"О, белли бир макъамнен, муддет-муддет токъталып, сызгъыра эди, бунынъ ичюн тилининъ уджуны танълайына тийсете эди."," Produced by touching the tongue to the roof of the mouth,at short intervals in the midst of the music."
"Затен, окъуйыджы, эгер о бир вакъытларда огъланчыкъ олгъан олса, бунынъ насыл япылгъаныны мытлакъа бильмели."," The reader probably remembers how to do it, if he has ever been a boy."
"Том бу ишни гъайрет ве исрарлыкъ косьтерип, менимседи.",Diligence and attention soon gave him the knack of it.
"Сокъакъ бойлап шенъ-шенъ адымлай, агъызы татлы музыканен толу, къальби мемнюниетликке толу.", And he strode down the street with his mouth full of harmony and his soul full of gratitude.
"О озюни, кокте янъы сейяре ачкъан астроном киби ис эте, ялынъыз онынъ къуванчы терендже, толуджа ве самимийдже эди.","He felt much as an astronomer feels who has discovered a new planet—no doubt, as far as strong, deep, unalloyed pleasure is concerned, the advantage was with the boy, not the astronomer."
Яз акъшамлары узунджа ола.,The summer evenings were long.
Орталыкъ даа ярыкъ эди.,"It was not dark, yet."
Том бирден сызгъырмасыны токътатты.,Presently Tom checked his whistle.
"Къаршысында Томдан бираз къалкъымджа, таныш олмагъан бир огълан турмакъта эди.",A stranger was before him—a boy a shade larger than himself.
"Къадынмы, эркекми, уйкенми, баламы – ким олса олсун – эр анги янъы бир сима Санкт-Петербург киби кичкене шеэрчиктеки сакинлернинъ дикъкъатыны шу ань джельп эте.",A newcomer of any age or either sex was an impressive curiosity in the poor little shabby village of St. Petersburg.
Бундан да гъайры огъланчыкънынъ устюнде кишилик урбалары бар эди.,"This boy was well dressed, too—well dressed on a week-day."
Бу гъает тааджюпли шей эди!,This was simply astounding.
"Башында гузель шляпа, устюнде мавы басмадан тикильген куртка, тыпкъы шу басмадан тикильген яп-янъы ве тер-темиз штан.","His cap was a dainty thing, his closebuttoned blue cloth roundabout was new and natty, and so were his pantaloons."
"Даа джума куню олгъанына бакъмадан, аякъларында башмакълары, бойнунда ачыкъ тюстеки шериттен япылгъан галстугы да бар.","He had shoes on—and it was only Friday,he even wore a necktie, a bright bit of ribbon."
Умумен алгъанда онынъ козьге чарпкъан шеэрли къыяфети Томны ачувландырды.,He had a citified air about him that ate into Tom's vitals.
Том огъланчыкънынъ усть-башына бакъкъан сайын озюнинъ урбалары аджыныкълы олып корюнди.,"The more Tom stared at the splendid marvel, the higher he turned up his nose at his finery."
"Къаршысындаки огъланнынъ къыяфетинен нефретленгенини косьтереджек олып, онъа устюнденен бакъмагъа тырышты."," % He tried to look at the boy across from him,trying to show disgust at his appearance."
"Эки огъланчыкъ да индемейип, бири-бирине бакъып турдылар.", The two boys stared at each other in silence.
"Бириси бир адым четке атса, экинджиси де атта, бири-бирининъ этрафында айланлар.","If one moved, the other moved—but only sidewise, in a circle."
Бири-бирининъ козьлеринден козьлерини алмайлар., They didn't take their eyes off each other.
Ниает Том:,Finally Tom said:
– Сени яхшы этип дёггенимни истейсинъми? – деди.,- Do you want me to hit you?-he asked.
"– Дёг, бакъайым!"," - Hit, I'd like to see it!"
– Эм дёгерим!,"""Well, I can do it."""
– Дёгип оламазсынъ!,"""No you can't, either."""
– Истесем ойле де бир дёгерим!," If I want, I will hit you."
– Дёгип оламазсынъ!,"""No you can't."""
– Дёгерим!,"""I can."""
– Дёгип оламазсынъ!,"""You can't."""
– Дёгерим!,""" I can!"""
– Дёгалмазсынъ!,""" You can't!"""
Экиси де сусты., Both fell silent.
 Ниает Том айтты:,Then Tom said:
– Сенинъ адынъ не? – деп сорады.,"""What's your name?"" - he asked."
– Меним адымдан санъа не?,"""'isn't any of your business, maybe."""
– Не олгъаныны шимди санъа косьтеририм!,"""Well I 'low I'll MAKE it my business."""
"– Косьтер, бакъайым."," - Show me, let`s see."
- Не косьтермейсинъ?, - What you will show?
– Даа эки сёз айтсанъ – косьтеририм.,"""If you say much, I will."""
– Эки сёз!, - Two words!
Эки сёз!, - Two words!
Мына санъа!, Get it!
– Бакъса сен онъа!, - Look at him!
"Эгер мен истесем, бир къолумны аркъама багъласалар биле, сени бир къолумнен урып йыкъарым!","I could lick you with one hand tied behind me, if I wanted to."""
– Я не урып йыкъмайсынъ?,"""Well why don't you DO it?"
"Урып йыкъарым, дейсинъ де!","You SAY you can do it."""
– Эгер манъа тийсенъ урарым!,"""Well I WILL, if you fool with me."""
Биз бойлелерини чокъ корьдик!, We've seen a lot like you!
"– Киббар хораз киби форса сатсам эр кес къоркъар, деп беллейсинъми?",- Do you know that everyone is afraid If i pretend to be an arrogant rooster?
"Вай, онынъ шляпасына бакъынъыз!","Oh, what a hat!"""
– Бегенмейсынмы?,-Don`t you like it?
"Ур да тюшюр башымдан, шунда сен менден озь пайынъны алырсынъ.","""You can lump that hat if you don't like it."
– Ялан айтасынъ!,"""You're a liar!"""
– Озюнъ ялан айтасынъ!,"""You're another liar."""
"– Озю къоркъакъ олып, къоркъузмагъа вакъыт тапа!","""You're a fighting liar and dasn't take it up."""
"– Айды, деф ол ёлумдан!","""Aw—take a walk!"""
"– Эй, эй, динъле: эгер озюнъни басмасанъ, башынъны урып эзерим!","""Say—if you give me much more of your sass I'll take and bounce a rock off'n your head."""
– Я не беклеп турасынъ?, - Then what are you waiting for?
"Тек къоркъузмагъа билесинъ, амельде исе элинъден бир шей кельмей."," You only know how to scare,but in reality you can`t prove anything."
"Демек къоркъасынъ, ойлеми?","It's because you're afraid."""
– Къоркъмайым!,"""I AIN'T afraid."""
"– Ёкъ, къоркъасынъ!","""You are."""
"– Ёкъ, къоркъмайым!","""I ain't."""
Огъланчыкълар кене сустылар., The boys fell silent.
"Бир ерде таптылып туралар, козьлеринен бири-бирини ашайджакълар.", They stood still as if they were trying to eat each other.
"Ниает, олар омузлары бири-бирине тиредилер.",Presently they were shoulder to shoulder.
Том айтты:,Tom said:
– Деф ол мындан!,VALUE!
– Озюнъ деф ол!,"""Go away yourself!"""
– Деф олмайджам!,"""I won't."""
– Мен де деф олмайджам!,"""I won't either."""
"Шай этип, олар бирер аякъларыны огге берип, бет бетке турдылар.","So they stood, each with a foot placed at an angle as a brace."
"Бири-бирине нефретнен бакъып, итеклешмеге башлайлар.", They were glowering at each other with hate.
Лякин кимсе гъалип чыкъмай.,But neither could get an advantage.
Эппейи вакъыткъадже бири-бирини тюртип турдылар., Some time they continued to push each other.
"Олар къызышмагъа башлайлар, арекетлери зайыфлашкъанына бакъмадан, озьлерини мукъайт тутмагъа тырышалар Шунда Том:","After struggling till both were hot and flushed, each relaxed his strain with watchful caution, and Tom said:"
– Сен къоркъакъ кучелексинъ!,"""You're a coward and a pup."
Мен агъама айтайым – о сени чинатий пармагъынен котеклер.,"I'll tell my big brother on you, and he can thrash you with his little finger."""
Мен онъа мытлакъа айтырым – о сени урар! – дей., I will definitely tell him - he will hit you! - he said.
– Сенинъ агъанъдан къоркъмайым!, I`m not afraid of your brother.
Меним де агъам бар., I also have a brother.
О сенинъ агъанъдан да буюк., He is older than your brother.
Меним агъам сенинъ агъанъны анавы исарнынъ артына котерип атар (Агъалар – темиз уйдурма).,"My brother can throw him over that fence, too."" [Both brothers were imaginary.]"
– Ялан айтасынъ!, - You are lying!
– Сен аз шей айтасынъмы!, You talk nonsense.
Том аягъынынъ баш пармагъынен топракъ устюнде чызыкъ чыза ве:,"Tom drew a line in the dust with his big toe, and said:"
"– Мынавы чызыкъны атлайым, деме сакъын!", - Just don`t say you`ll jump over that line!
"Мен сени ойле де бир дёгерим ки, еринъден турып оламазсынъ! Кимде ким бу чызыкътан атласа, онынъ ишлери гъает фена оладжакъ! – дей.","""I`ll spank you so hard that you won`t recornize youur own! Whoever crosses this line, it will be very bad! - says. "
Ят огъланчыкъ шу ань чызыкътан атлайджакъ ола:,"The new boy stepped over promptly, and said:"
"– Къана-а, бакъайым, сен мени насыл ураджакъ экенсинъ.","""Now you said you'd do it, now let's see you do it."""
"– Сени дёгерим, деп озюнъ айттынъ да! Не ичюн дёгмейсинъ?","""Well, you SAID you'd do it—why don't you do it?"""
"– Эгер сени эки цент ичюн дёгмесем, алыма шейтанлар агъласын!"," If I don`t hit you for two cents, let the devils cry for me!"
Ят огъланчыкъ джебинден эки дане бакъыр капик чыкъара ве кулюмсиреп Томгъа узата.,The new boy took two broad coppers out of his pocket and held them out with derision.
Том онынъ къолуны къакъып йибере ве бакъыр капиклер ерге тюшелер.,Tom struck them to the ground.
Бир дакъкъа кечер-кечмез эки огъланчыкъ ерге йыкъыла ве мышыкълар киби курешелер.,"In an instant both boys were rolling and tumbling in the dirt, gripped together like cats."
"Бири-бирининъ сачларындан чекелер, курткаларындан, штанларындан тарталар, бири-бирини чимчилейлер, бири-бирининъ бурунларыны тырнайлар."," They tugged and tore at each other's hair and clothes, punched and scratched each other's nose. "
"Ниает, бельгисиз юмакъ озь чизгилерини алып башлай, куреш тозаны арасындан бойле бир манзараны корьмек мумкюн эди: Том душманынъ устюнде отура ве юмрукъларыны душманынынъ узерине келиши гузель ягъдыра эди.","Presently the confusion took form, and through the fog of battle Tom appeared, seated astride the new boy, and pounding him with his fists."
– Афу сора! – деп талап эте Том.," - ""Holler 'nuff! - Tom demanded."
Лякин ят огъланчыкъ ондан къуртулмакъ ичюн ачувнен къычыра.,The boy only struggled to free himself.
– Афу сора! – Ве котек девам эте.,"""Holler 'nuff!""— and the pounding went on."
Ниает ят огъланчыкъ сомурдана:," Finally, the boy mumbled:"
"«Етер!», дей, ве Том онынъ якъасыны бошай:"," ""'Nuff!"" and Tom let him up and said:"
– Бу санъа бир дерс олсун!,"""Now that'll learn you."
Келеджекте билирсинъ кимнен иш корьгенинъни.,"Better look out who you're fooling with next time."""
"Ят огъланчыкъ костюмчигининъ тозуны къакъып, агъламсырап, шыншыкълап, кяде бир артына айланып бакъып, башыны саллап, «бир даа Томны тутсам, яхшы этип дёгеджем» деп ёлуна реван олды.","The new boy went off brushing the dust from his clothes, sobbing, snuffling, and occasionally looking back and shaking his head and threatening what he would do to Tom the ""next time he caught him out."""
"Том «эбет, эбет!» деп онынъ устюнден кульди ве къазангъан гъалебесинен гъурурланып, эвлерине кетти."," Tom said ""yes,of course,of course!""laughing at him and went home proud of his victory."
Лякин айланып кетеджекте ят огъланчыкъ онынъ артындан таш атты.," And as soon as he turned his back, the boy grabbed the stone and threw it."
Таш келип тамам эки куреги арасына келип урулды., And hit him between the shoulders.
Ят огъланчыкъ антилопа киби къачмагъа башлады., He then turned tail and ran like an antelope.
"Том шу хаиннинъ артындан эвинедже чапып кетти, ве онынъ къайда яшагъыны бильди.","Tom chased the traitor home, and thus found out where he lived."
"Душманны урушкъа чагъырып, ёл къапы янында бираз турды.","He then held  at the gate for some time, daring the enemy to come outside."
"Душман исе сокъакъкъа чыкъмакъ истемеди, пенджереден онъа тилини косьтерди.", But the enemy only made faces at him through the window and declined.
"Ниает, душманнынъ анасы пейда олды, Том пис, бозукъ, къаба табиатлы огъланчыкъ, деп сёгди ве бу ерден деф олмасыны талап этти.","At last the enemy's mother appeared, and called Tom a bad, vicious, vulgar child, and ordered him away."
"Том кетти, ве кетеяткъанда бу якъын орталыкъта юреджем, огълунъызны тутсам, яхшы этип дёгеджем, деп тенбиеледи.","So he went away; but he said he ""'lowed"" to ""lay"" for that boy."
"О, эвлерине кеч къайтып кельди ве ичериге пенджереден киреяткъанда тузакъкъа тюшкенини анълады: къаршысында тизеси тура эди.","He got home pretty late that night, and when he climbed cautiously in at the window, he uncovered an ambuscade, in the person of his aunt."
"Полли апте онынъ курткасынынъ, штанынынъ алыны корьгенинен онынъ байрамыны агъыр ишлернен денъиштирмеге кесен къарар берди.", When she saw the state his clothes were in her resolution to turn his Saturday holiday into captivity at hard labor became adamantine in its firmness.
Къарары эльмаздан къатты эди., Decision was harder than a diamond.
 Экинджи баб, CHAPTER II
Джумаэртеси.,Saturday.
"Яз тазе, къайнакъ аятнен парылдамакъта эди.","Everything was bright and fresh, and brimming with life."
"Эр бир къальбде йыр янъгъырамакъта, эгер де бу яш инсаннынъ къальби исе, йыр дудакълардан тыгъырып тюшмекте эди.",There was a song in every heart; and if the heart was young the music issued at the lips.
"Адамларнынъ чересинде къуванч, адамлар тендирист-тендирист адым аталар.",There was cheer in every face and a spring in every step.
"Беяз акациялар чечекке комюльгенлер, этрафкъа мис-къокъу сачмакъталар.",The locust-trees were in bloom and the fragrance of the blossoms filled the air.
"Шеэр артындаки Кардиф дагъы ешилликлерге комюльген. Дагъ аджайип, гъамсыз, озюне джельп этиджи бир мукъаддес ер киби корюнмекте.","Cardiff Hill, beyond the village and above it, was green with vegetation and it lay just far enough away to seem a Delectable Land, dreamy, reposeful, and inviting."
"Том бир къопкъа киреч ве узун фырчыны алып, сокъакъкъа чыкъты.",Tom appeared on the sidewalk with a bucket of whitewash and a long-handled brush.
